model,backbone,view_weight,translation_weight,task,n_samples,test_rmse_mean,test_rmse_std,test_r2_mean,test_r2_std,train_r2_mean
externalval_long_checkpoint_transpolymer_original,transpolymer,0.0,0.0,EPS,382,0.5289,0.1048,0.7715,0.0515,0.8941
externalval_long_checkpoint_transpolymer_original,transpolymer,0.0,0.0,Nc,382,0.0958,0.0153,0.8344,0.0376,0.9544
externalval_long_checkpoint_transpolymer_original,transpolymer,0.0,0.0,Eat,390,0.0755,0.0311,0.9540,0.0312,0.9896
externalval_long_checkpoint_transpolymer_translation_only,transpolymer,0.0,0.5,Egc,3380,0.4405,0.0150,0.9205,0.0044,0.9900
externalval_long_checkpoint_transpolymer_translation_only,transpolymer,0.0,0.5,Egb,561,0.5267,0.0557,0.9262,0.0128,0.9861
externalval_long_checkpoint_transpolymer_translation_only,transpolymer,0.0,0.5,Eea,368,0.3088,0.0165,0.9185,0.0066,0.9754
externalval_long_checkpoint_transpolymer_translation_only,transpolymer,0.0,0.5,Ei,370,0.4326,0.0483,0.8048,0.0213,0.9377
externalval_long_checkpoint_transpolymer_translation_only,transpolymer,0.0,0.5,Xc,432,17.6779,1.1923,0.4257,0.1132,0.8254
externalval_long_checkpoint_transpolymer_translation_only,transpolymer,0.0,0.5,EPS,382,0.5490,0.0926,0.7534,0.0426,0.8654
externalval_long_checkpoint_transpolymer_translation_only,transpolymer,0.0,0.5,Nc,382,0.0933,0.0144,0.8450,0.0281,0.9334
externalval_long_checkpoint_transpolymer_translation_only,transpolymer,0.0,0.5,Eat,390,0.0784,0.0329,0.9501,0.0353,0.9925
externalval_long_checkpoint_transpolymer_view_only,transpolymer,0.1,0.0,Egc,3380,0.4420,0.0171,0.9199,0.0046,0.9918
externalval_long_checkpoint_transpolymer_view_only,transpolymer,0.1,0.0,Egb,561,0.5244,0.0494,0.9265,0.0128,0.9861
externalval_long_checkpoint_transpolymer_view_only,transpolymer,0.1,0.0,Eea,368,0.3077,0.0248,0.9192,0.0087,0.9772
externalval_long_checkpoint_transpolymer_view_only,transpolymer,0.1,0.0,Ei,370,0.4362,0.0417,0.8006,0.0233,0.9400
externalval_long_checkpoint_transpolymer_view_only,transpolymer,0.1,0.0,Xc,432,17.7118,1.1804,0.4195,0.1381,0.7206
externalval_long_checkpoint_transpolymer_view_only,transpolymer,0.1,0.0,EPS,382,0.5479,0.0908,0.7513,0.0529,0.8909
externalval_long_checkpoint_transpolymer_view_only,transpolymer,0.1,0.0,Nc,382,0.0930,0.0162,0.8457,0.0341,0.9251
externalval_long_checkpoint_transpolymer_view_only,transpolymer,0.1,0.0,Eat,390,0.0771,0.0284,0.9528,0.0279,0.9905
